<<<<<<< HEAD:sue_data/csv_data/critical_functions/company_critical_functions_mapping.csv
﻿endpoint_node_name,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15
Cybersecurity Capability & Tools SAN Archive,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Cybersecurity Capability & Tools SAN Archive Backup,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Audit Log Server,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Audit Log SAN Archive,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Server Rack, Server #1 (SR1)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Server Rack, Server #2 (SR2)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Server Rack, Server #3 (SR3)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Server Rack, Server #4 (SR4)",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"Server Rack, Server #5 (SR5)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Server Rack, Server #6 (SR6)",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Server Rack, Server #7 (SR7)",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Server Rack, Server #8 (SR8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Server Rack, Server #9 (SR9)",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"Server Rack, Server #10 (SR10)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Server Rack, Server #11 (SR11)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Server Rack, Server #12 (SR12)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Engineering & Production SAN 1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Engineering & Production SAN Archive 1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Engineering & Production SAN Archive 1 Backup,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Engineering & Production SAN 2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Engineering & Production SAN Archive 2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Engineering & Production SAN Archive 2 Backup,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Engineering & Production SAN 3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Test SAN,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Test SAN Archive,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Test SAN Archive Backup,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Company Management SAN,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
Company Management SAN Archive,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
Company Management SAN Archive Backup,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
Engineering & Production (Workstation 1),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Engineering & Production (Workstation 2),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Engineering & Production (Workstation 3),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Engineering & Production (Workstation 4),0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Test Engineering (Laptop 1),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Test Engineering (Laptop 2),0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Company Management (Workstation 5),0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
Company Management (Workstation 6),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
>>>>>>> 9d750f1 (rmflo sue data converted to .json EOD 20241012):sue_data/csv_data/individual_files_archive/critical_functions/company_critical_functions_mapping.csv
