Node Category,Node Name,Software Make,Software Description,Software Version,CVE Number,NVD Score
boundary defense and system administrator rack,Virtualization Manager Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2011-3347,4.6
boundary defense and system administrator rack,Virtualization Manager Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2011-2942,6.8
boundary defense and system administrator rack,Virtualization Manager Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2017-12193,5.5
boundary defense and system administrator rack,Virtualization Manager Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2017-15121,5.5
boundary defense and system administrator rack,Virtualization Manager Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2019-10171,7.5
boundary defense and system administrator rack,Virtualization Manager Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2019-10214,5.9
boundary defense and system administrator rack,Virtualization Manager Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2019-19768,7.5
boundary defense and system administrator rack,Virtualization Manager Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2020-1702,3.3
boundary defense and system administrator rack,Virtualization Manager Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2020-14312,5.9
boundary defense and system administrator rack,Virtualization Manager Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2022-1665,8.2
boundary defense and system administrator rack,Virtualization Manager Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2023-24998,7.5
boundary defense and system administrator rack,Virtualization Manager Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2023-4042,5.5
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2011-1576,5.7
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2011-0714,5.7
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2010-1439,3.6
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2016-9604,4.4
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2016-3699,7.4
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2015-7553,4.7
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2015-3216,4.3
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2014-5177,1.2
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2012-0217,7.2
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2012-1145,5.0
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2012-1568,1.9
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2011-3347,4.6
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2011-2942,6.8
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2017-12193,5.5
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2017-15121,5.5
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2019-10171,7.5
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2019-10214,5.9
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2019-19768,7.5
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2020-1702,3.3
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2020-14312,5.9
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2022-1665,8.2
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2023-24998,7.5
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,RedHat,RedHat Enterprise Linux (RHEL),RHEL 8.10,CVE-2023-4042,5.5
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,McAfee,VirusScan Enterprise,2,CVE-2020-7337,6.7
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,McAfee,VirusScan Enterprise,2,CVE-2009-5118,9.3
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,McAfee,VirusScan Enterprise,2,CVE-2007-2152,7.9
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,Tenable,Nessus Vulnerability Scanner,8.10.0,CVE-2023-0101,8.8
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,Tenable,Nessus Vulnerability Scanner,8.10.0,CVE-2021-20135,6.7
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,Tenable,Nessus Vulnerability Scanner,8.10.0,CVE-2020-5765,5.4
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,Splunk,Enterprise Security Information and Event Manager (SIEM),8.6,CVE-2024-23675,6.5
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,Splunk,Enterprise Security Information and Event Manager (SIEM),8.6,CVE-2024-23676,3.5
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,Splunk,Enterprise Security Information and Event Manager (SIEM),8.6,CVE-2023-40593,7.5
boundary defense and system administrator rack,Cybersecurity Capability & Tools Server,Splunk,Enterprise Security Information and Event Manager (SIEM),8.6,CVE-2023-40592,6.1
bulk data storage rack,"Layer 2 Switches (Ethernet), 1",Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2016-6473,6.5
bulk data storage rack,"Layer 2 Switches (Ethernet), 1",Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2017-6606,6.4
bulk data storage rack,"Layer 2 Switches (Ethernet), 1",Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2017-3803,4.7
bulk data storage rack,"Layer 2 Switches (Ethernet),1",Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2016-1425,6.5
bulk data storage rack,"Layer 2 Switches (Ethernet), 2",Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2016-6473,6.5
bulk data storage rack,"Layer 2 Switches (Ethernet), 2",Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2017-6606,6.4
bulk data storage rack,"Layer 2 Switches (Ethernet), 2",Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2017-3803,4.7
bulk data storage rack,"Layer 2 Switches (Ethernet), 2",Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2016-1425,6.5
bulk data storage rack,"Layer 2 Switches (Ethernet), 3",Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2016-6473,6.5
bulk data storage rack,"Layer 2 Switches (Ethernet), 3",Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2017-6606,6.4
bulk data storage rack,"Layer 2 Switches (Ethernet), 3",Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2017-3803,4.7
bulk data storage rack,"Layer 2 Switches (Ethernet), 3",Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2016-1425,6.5
company laptops,Test Engineering (Laptop 1),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2023-47804,8.8
company laptops,Test Engineering (Laptop 1),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2022-37401,8.8
company laptops,Test Engineering (Laptop 1),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2021-33035,7.8
company laptops,Test Engineering (Laptop 1),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2020-13958,7.8
company laptops,Test Engineering (Laptop 1),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2017-12607,7.8
company laptops,Test Engineering (Laptop 2),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2023-47804,8.8
company laptops,Test Engineering (Laptop 2),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2022-37401,8.8
company laptops,Test Engineering (Laptop 2),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2021-33035,7.8
company laptops,Test Engineering (Laptop 2),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2020-13958,7.8
company laptops,Test Engineering (Laptop 2),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2017-12607,7.8
company workstations,Engineering & Production (Workstation 1),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2023-47804,8.8
company workstations,Engineering & Production (Workstation 1),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2022-37401,8.8
company workstations,Engineering & Production (Workstation 1),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2021-33035,7.8
company workstations,Engineering & Production (Workstation 1),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2020-13958,7.8
company workstations,Engineering & Production (Workstation 1),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2017-12607,7.8
company workstations,Engineering & Production (Workstation 2),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2023-47804,8.8
company workstations,Engineering & Production (Workstation 2),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2022-37401,8.8
company workstations,Engineering & Production (Workstation 2),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2021-33035,7.8
company workstations,Engineering & Production (Workstation 2),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2020-13958,7.8
company workstations,Engineering & Production (Workstation 2),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2017-12607,7.8
company workstations,Engineering & Production (Workstation 3),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2023-47804,8.8
company workstations,Engineering & Production (Workstation 3),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2022-37401,8.8
company workstations,Engineering & Production (Workstation 3),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2021-33035,7.8
company workstations,Engineering & Production (Workstation 3),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2020-13958,7.8
company workstations,Engineering & Production (Workstation 3),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2017-12607,7.8
company workstations,Engineering & Production (Workstation 4),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2023-47804,8.8
company workstations,Engineering & Production (Workstation 4),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2022-37401,8.8
company workstations,Engineering & Production (Workstation 4),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2021-33035,7.8
company workstations,Engineering & Production (Workstation 4),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2020-13958,7.8
company workstations,Engineering & Production (Workstation 4),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2017-12607,7.8
company workstations,Company Management (Workstation 5),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2023-47804,8.8
company workstations,Company Management (Workstation 5),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2022-37401,8.8
company workstations,Company Management (Workstation 5),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2021-33035,7.8
company workstations,Company Management (Workstation 5),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2020-13958,7.8
company workstations,Company Management (Workstation 5),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2017-12607,7.8
company workstations,Company Management (Workstation 6),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2023-47804,8.8
company workstations,Company Management (Workstation 6),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2022-37401,8.8
company workstations,Company Management (Workstation 6),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2021-33035,7.8
company workstations,Company Management (Workstation 6),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2020-13958,7.8
company workstations,Company Management (Workstation 6),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2017-12607,7.8
server rack,Layer 2 Switches (Ethernet),Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2016-6473,6.5
server rack,Layer 2 Switches (Ethernet),Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2017-6606,6.4
server rack,Layer 2 Switches (Ethernet),Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2017-3803,4.7
server rack,Layer 2 Switches (Ethernet),Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2016-1425,6.5
server rack,"Server Rack, Server #11 (SR11)",Microsoft,Windows Server 2008 Service Pack 2,Windows Server 2008 SP2,CVE-2017-8543,9.8
server rack,"Server Rack, Server #11 (SR11)",Microsoft,Windows Server 2008 Service Pack 2,Windows Server 2008 SP2,CVE-2014-0301,9.3
server rack,"Server Rack, Server #11 (SR11)",Microsoft,Windows Server 2008 Service Pack 2,Windows Server 2008 SP2,CVE-2014-0323,6.6
server rack,"Server Rack, Server #11 (SR11)",Microsoft,Windows Server 2008 Service Pack 2,Windows Server 2008 SP2,CVE-2014-0315,6.9
server rack,"Server Rack, Server #11 (SR11)",Microsoft,Windows Server 2008 Service Pack 2,Windows Server 2008 SP2,CVE-2013-5058,6.9
server rack,"Server Rack, Server #11 (SR11)",Microsoft,Windows Server 2008 Service Pack 2,Windows Server 2008 SP2,CVE-2013-5056,9.3
server rack,"Server Rack, Server #12 (SR12)",Microsoft,Windows Server 2008 Service Pack 2,Windows Server 2008 SP2,CVE-2017-8543,9.8
server rack,"Server Rack, Server #12 (SR12)",Microsoft,Windows Server 2008 Service Pack 2,Windows Server 2008 SP2,CVE-2014-0301,9.3
server rack,"Server Rack, Server #12 (SR12)",Microsoft,Windows Server 2008 Service Pack 2,Windows Server 2008 SP2,CVE-2014-0323,6.6
server rack,"Server Rack, Server #12 (SR12)",Microsoft,Windows Server 2008 Service Pack 2,Windows Server 2008 SP2,CVE-2014-0315,6.9
server rack,"Server Rack, Server #12 (SR12)",Microsoft,Windows Server 2008 Service Pack 2,Windows Server 2008 SP2,CVE-2013-5058,6.9
server rack,"Server Rack, Server #12 (SR12)",Microsoft,Windows Server 2008 Service Pack 2,Windows Server 2008 SP2,CVE-2013-5056,9.3
boundary defense and system administrator rack,Audit Log Server,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2011-1576,5.7
boundary defense and system administrator rack,Audit Log Server,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2011-0714,5.7
boundary defense and system administrator rack,Audit Log Server,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2010-1439,3.6
boundary defense and system administrator rack,Audit Log Server,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2016-9604,4.4
boundary defense and system administrator rack,Audit Log Server,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2016-3699,7.4
boundary defense and system administrator rack,Audit Log Server,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2015-7553,4.7
boundary defense and system administrator rack,Audit Log Server,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2015-3216,4.3
boundary defense and system administrator rack,Audit Log Server,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2014-5177,1.2
boundary defense and system administrator rack,Audit Log Server,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2012-0217,7.2
boundary defense and system administrator rack,Audit Log Server,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2012-1145,5.0
boundary defense and system administrator rack,Audit Log Server,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2012-1568,1.9
boundary defense and system administrator rack,Audit Log Server,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2011-3347,4.6
boundary defense and system administrator rack,Audit Log Server,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2011-2942,6.8
boundary defense and system administrator rack,Audit Log Server,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2017-12193,5.5
boundary defense and system administrator rack,Audit Log Server,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2017-15121,5.5
boundary defense and system administrator rack,Audit Log Server,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2019-10171,7.5
boundary defense and system administrator rack,Audit Log Server,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2019-10214,5.9
boundary defense and system administrator rack,Audit Log Server,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2019-19768,7.5
boundary defense and system administrator rack,Audit Log Server,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2020-1702,3.3
boundary defense and system administrator rack,Audit Log Server,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2020-14312,5.9
boundary defense and system administrator rack,Audit Log Server,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2022-1665,8.2
boundary defense and system administrator rack,Audit Log Server,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2023-24998,7.5
boundary defense and system administrator rack,Audit Log Server,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2023-4042,5.5
boundary defense and system administrator rack,Virtualization Manager SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2011-1576,5.7
boundary defense and system administrator rack,Virtualization Manager SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2011-0714,5.7
boundary defense and system administrator rack,Virtualization Manager SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2010-1439,3.6
boundary defense and system administrator rack,Virtualization Manager SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2016-9604,4.4
boundary defense and system administrator rack,Virtualization Manager SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2016-3699,7.4
boundary defense and system administrator rack,Virtualization Manager SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2015-7553,4.7
boundary defense and system administrator rack,Virtualization Manager SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2015-3216,4.3
boundary defense and system administrator rack,Virtualization Manager SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2014-5177,1.2
boundary defense and system administrator rack,Virtualization Manager SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2012-0217,7.2
boundary defense and system administrator rack,Virtualization Manager SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2012-1145,5.0
boundary defense and system administrator rack,Virtualization Manager SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2012-1568,1.9
boundary defense and system administrator rack,Virtualization Manager SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2011-3347,4.6
boundary defense and system administrator rack,Virtualization Manager SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2011-2942,6.8
boundary defense and system administrator rack,Virtualization Manager SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2017-12193,5.5
boundary defense and system administrator rack,Virtualization Manager SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2017-15121,5.5
boundary defense and system administrator rack,Virtualization Manager SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2019-10171,7.5
boundary defense and system administrator rack,Virtualization Manager SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2019-10214,5.9
boundary defense and system administrator rack,Virtualization Manager SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2019-19768,7.5
boundary defense and system administrator rack,Virtualization Manager SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2020-1702,3.3
boundary defense and system administrator rack,Virtualization Manager SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2020-14312,5.9
boundary defense and system administrator rack,Virtualization Manager SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2022-1665,8.2
boundary defense and system administrator rack,Virtualization Manager SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2023-24998,7.5
boundary defense and system administrator rack,Virtualization Manager SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2023-4042,5.5
boundary defense and system administrator rack,Cybersecurity Capability & Tools SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2011-1576,5.7
boundary defense and system administrator rack,Cybersecurity Capability & Tools SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2011-0714,5.7
boundary defense and system administrator rack,Cybersecurity Capability & Tools SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2010-1439,3.6
boundary defense and system administrator rack,Cybersecurity Capability & Tools SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2016-9604,4.4
boundary defense and system administrator rack,Cybersecurity Capability & Tools SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2016-3699,7.4
boundary defense and system administrator rack,Cybersecurity Capability & Tools SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2015-7553,4.7
boundary defense and system administrator rack,Cybersecurity Capability & Tools SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2015-3216,4.3
boundary defense and system administrator rack,Cybersecurity Capability & Tools SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2014-5177,1.2
boundary defense and system administrator rack,Cybersecurity Capability & Tools SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2012-0217,7.2
boundary defense and system administrator rack,Cybersecurity Capability & Tools SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2012-1145,5.0
boundary defense and system administrator rack,Cybersecurity Capability & Tools SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2012-1568,1.9
boundary defense and system administrator rack,Cybersecurity Capability & Tools SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2011-3347,4.6
boundary defense and system administrator rack,Cybersecurity Capability & Tools SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2011-2942,6.8
boundary defense and system administrator rack,Cybersecurity Capability & Tools SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2017-12193,5.5
boundary defense and system administrator rack,Cybersecurity Capability & Tools SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2017-15121,5.5
boundary defense and system administrator rack,Cybersecurity Capability & Tools SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2019-10171,7.5
boundary defense and system administrator rack,Cybersecurity Capability & Tools SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2019-10214,5.9
boundary defense and system administrator rack,Cybersecurity Capability & Tools SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 8.10,CVE-2019-19768,7.5
