Node Category,Node Name,Software Make,Software Description,Software Version,CVE Number,NVD Score
boundary defense and system administrator rack,Virtualization Manager Server,Splunk,Enterprise Security Information and Event Manager (SIEM),8.6,CVE-2023-40593,7.5
boundary defense and system administrator rack,Virtualization Manager Server,Splunk,Enterprise Security Information and Event Manager (SIEM),8.6,CVE-2023-40592,6.1
boundary defense and system administrator rack,Audit Log Server,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
boundary defense and system administrator rack,Virtualization Manager SANS,RedHat,RedHat Enterprise Linux,RHEL 6.0,CVE-2013-1935,5.7
boundary defense and system administrator rack,Virtualization Manager SANS,RedHat,RedHat Enterprise Linux,RHEL 6.0,CVE-2013-2224,6.9
boundary defense and system administrator rack,Virtualization Manager SANS,RedHat,RedHat Enterprise Linux,RHEL 6.0,CVE-2013-2188,4.7
boundary defense and system administrator rack,Cybersecurity Capability & Tools SANS,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
boundary defense and system administrator rack,Audit Log SANS,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
bulk data storage rack,"Layer 2 Switches (Ethernet), Qty. 3",Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2016-6473,6.5
bulk data storage rack,"Layer 2 Switches (Ethernet), Qty. 3",Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2017-6606,6.4
bulk data storage rack,"Layer 2 Switches (Ethernet), Qty. 3",Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2017-3803,4.7
bulk data storage rack,"Layer 2 Switches (Ethernet), Qty. 3",Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2016-1425,6.5
bulk data storage rack,Engineering & Production SAN Archive 1,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
bulk data storage rack,Engineering & Production SAN Archive 2,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
bulk data storage rack,Engineering & Production SAN Archive 1 Backup,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
bulk data storage rack,Engineering & Production SAN Archive 2 Backup,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
bulk data storage rack,Test SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
bulk data storage rack,Test SAN Archive Backup,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
bulk data storage rack,Cybersecurity Capability & Tools SAN Archive Backup,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
bulk data storage rack,Company Management SAN Archive,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
bulk data storage rack,Company Management SAN Archive Backup,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
company laptops,"Test Engineering, Laptop 1",RedHat,RedHat Enterprise Linux,RHEL 5.0,CVE-2012-2697,4.9
company laptops,"Test Engineering, Laptop 1",RedHat,RedHat Enterprise Linux,RHEL 5.0,CVE-2012-3440,5.6
company laptops,"Test Engineering, Laptop 1",RedHat,RedHat Enterprise Linux,RHEL 5.0,CVD-2010-0727,4.9
company laptops,"Test Engineering, Laptop 1",OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2023-47804,8.8
company laptops,"Test Engineering, Laptop 1",OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2022-37401,8.8
company laptops,"Test Engineering, Laptop 1",OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2021-33035,7.8
company laptops,"Test Engineering, Laptop 1",OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2020-13958,7.8
company laptops,"Test Engineering, Laptop 1",OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2017-12607,7.8
company laptops,"Test Engineering, Laptop 2",RedHat,RedHat Enterprise Linux,RHEL 5.0,CVE-2012-2697,4.9
company laptops,"Test Engineering, Laptop 2",RedHat,RedHat Enterprise Linux,RHEL 5.0,CVE-2012-3440,5.6
company laptops,"Test Engineering, Laptop 2",RedHat,RedHat Enterprise Linux,RHEL 5.0,CVD-2010-0727,4.9
company laptops,"Test Engineering, Laptop 2",OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2023-47804,8.8
company laptops,"Test Engineering, Laptop 2",OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2022-37401,8.8
company laptops,"Test Engineering, Laptop 2",OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2021-33035,7.8
company laptops,"Test Engineering, Laptop 2",OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2020-13958,7.8
company laptops,"Test Engineering, Laptop 2",OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2017-12607,7.8
company workstations,Engineering & Production (Workstations 1 thru 4),RedHat,RedHat Enterprise Linux,RHEL 6.0,CVE-2013-1935,5.7
company workstations,Engineering & Production (Workstations 1 thru 4),RedHat,RedHat Enterprise Linux,RHEL 6.0,CVE-2013-2224,6.9
company workstations,Engineering & Production (Workstations 1 thru 4),RedHat,RedHat Enterprise Linux,RHEL 6.0,CVE-2013-2188,4.7
company workstations,Engineering & Production (Workstations 1 thru 4),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2023-47804,8.8
company workstations,Engineering & Production (Workstations 1 thru 4),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2022-37401,8.8
company workstations,Engineering & Production (Workstations 1 thru 4),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2021-33035,7.8
company workstations,Engineering & Production (Workstations 1 thru 4),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2020-13958,7.8
company workstations,Engineering & Production (Workstations 1 thru 4),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2017-12607,7.8
company workstations,Company Management (Workstations 5 and 6),RedHat,RedHat Enterprise Linux,RHEL 6.0,CVE-2013-1935,5.7
company workstations,Company Management (Workstations 5 and 6),RedHat,RedHat Enterprise Linux,RHEL 6.0,CVE-2013-2224,6.9
company workstations,Company Management (Workstations 5 and 6),RedHat,RedHat Enterprise Linux,RHEL 6.0,CVE-2013-2188,4.7
company workstations,Company Management (Workstations 5 and 6),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2023-47804,8.8
company workstations,Company Management (Workstations 5 and 6),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2022-37401,8.8
company workstations,Company Management (Workstations 5 and 6),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2021-33035,7.8
company workstations,Company Management (Workstations 5 and 6),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2020-13958,7.8
company workstations,Company Management (Workstations 5 and 6),OpenOffice,Apache OpenOffice,4.1.1.4,CVE-2017-12607,7.8
server rack,Layer 2 Switches (Ethernet),Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2016-6473,6.5
server rack,Layer 2 Switches (Ethernet),Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2017-6606,6.4
server rack,Layer 2 Switches (Ethernet),Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2017-3803,4.7
server rack,Layer 2 Switches (Ethernet),Cisco,Catalyst 2960-X,IOS 15.2(1)E,CVE-2016-1425,6.5
server rack,Servers SR1 and SR2,RedHat,RedHat Enterprise Linux (RHEL),RHEL 5.0,CVE-2012-2697,4.9
server rack,Servers SR1 and SR2,RedHat,RedHat Enterprise Linux (RHEL),RHEL 5.0,CVE-2012-3440,5.6
server rack,Servers SR1 and SR2,RedHat,RedHat Enterprise Linux (RHEL),RHEL 5.0,CVD-2010-0727,4.9
server rack,Servers SR3 and SR4,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
server rack,Servers SR5 and SR6,RedHat,RedHat Enterprise Linux,RHEL 6.0,CVE-2013-1935,5.7
server rack,Servers SR5 and SR6,RedHat,RedHat Enterprise Linux,RHEL 6.0,CVE-2013-2224,6.9
server rack,Servers SR5 and SR6,RedHat,RedHat Enterprise Linux,RHEL 6.0,CVE-2013-2188,4.7
server rack,Servers SR7 and SR8,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
server rack,Severs SR9 and SR10,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
server rack,Severs SR11 and SR12,Microsoft,Windows Server 2008 Service Pack 2,Windows Server 2008 SP2,CVE-2017-8543,9.8
server rack,Severs SR11 and SR12,Microsoft,Windows Server 2008 Service Pack 2,Windows Server 2008 SP2,CVE-2014-0301,9.3
server rack,Severs SR11 and SR12,Microsoft,Windows Server 2008 Service Pack 2,Windows Server 2008 SP2,CVE-2014-0323,6.6
server rack,Severs SR11 and SR12,Microsoft,Windows Server 2008 Service Pack 2,Windows Server 2008 SP2,CVE-2014-0315,6.9
server rack,Severs SR11 and SR12,Microsoft,Windows Server 2008 Service Pack 2,Windows Server 2008 SP2,CVE-2013-5058,6.9
server rack,Severs SR11 and SR12,Microsoft,Windows Server 2008 Service Pack 2,Windows Server 2008 SP2,CVE-2013-5056,9.3
server rack,Engineering & Production SAN 1,RedHat,RedHat Enterprise Linux,RHEL 5.0,CVE-2012-2697,4.9
server rack,Engineering & Production SAN 1,RedHat,RedHat Enterprise Linux,RHEL 5.0,CVE-2012-3440,5.6
server rack,Engineering & Production SAN 1,RedHat,RedHat Enterprise Linux,RHEL 5.0,CVD-2010-0727,4.9
server rack,Engineering & Production SAN 2,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
server rack,Engineering & Production SAN 3,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
server rack,Test SAN,RedHat,RedHat Enterprise Linux,RHEL 7.1,CVD-2015-7833,4.9
server rack,Company Management SAN,RedHat,RedHat Enterprise Linux,RHEL 5.0,CVE-2012-2697,4.9
server rack,Company Management SAN,RedHat,RedHat Enterprise Linux,RHEL 5.0,CVE-2012-3440,5.6
server rack,Company Management SAN,RedHat,RedHat Enterprise Linux,RHEL 5.0,CVD-2010-0727,4.9
